Dataset Name,Website Link,Paper Link,Year,Task,Event Types,Event/Video Count,Instantiation,Genre/Video purpose,Text/Graphics,Modalities,Annotations (+ Event structure),Motivation/Contribution (excerpt from paper)
TRECVID,https://trecvid.nist.gov/trecvid.data.html#tv23,https://dl.acm.org/doi/abs/10.1145/1178677.1178722,2006,Retrieval,Current events,"17K videos, 24 movies",Unknown,News footage,T,Video,"temporal intervals, retrieval queries, various high level features","The TREC Video Retrieval Evaluation (TRECVid)is an international benchmarking activity to encourage research in video information retrieval by providing a large test collection, uniform scoring procedures, and a forum for organizations 1 interested in comparing their results."
CCV,https://www.ee.columbia.edu/ln/dvmm/CCV/,https://www.ee.columbia.edu/ln/dvmm/publicationPage//Publi//icmr11:consumervideo.html,2011,Classification,Daily life,"9,317 YouTube videos over 20 semantic categories",Unknown,Internet videos,F,Video,Class labels,"Existing corpora for video analysis lack scale and/or content diversity, and thus limited the needed progress in this critical area. In this paper, we describe and release a new database called CCV, containing 9,317 web videos over 20 semantic categories, including events like ""baseball"" and ""parade"", scenes like ""beach"", and objects like ""cat"". The database was collected with extra care to ensure relevance to consumer interest and originality of video content without post-editing."
HMDB51,https://serre-lab.clps.brown.edu/resource/hmdb-a-large-human-motion-database/,https://ieeexplore.ieee.org/abstract/document/6126543,2011,"Action localization, recognition","Facial actions, body movements, object and human interaction",6849 clips divided into 51 action categories,Both,"Movies, internet videos",F,Video,"Class labels, pose information, camera angle, video quality label","Current action recognition databases contain on the order of ten different action categories collected under fairly controlled conditions. To address this issue we collected the largest action video database to-date with 51 action categories, which in total contain around 7,000 manually annotated clips extracted from a variety of sources ranging from digitized movies to YouTube."
MSVD,https://paperswithcode.com/dataset/msvd,https://aclanthology.org/P11-1020.pdf,2011,"Captioning, paraphrasing",Short actions,"85K English descriptions for 2,089 video clips",Unknown,Internet video clips,F,Video,Video captions,A lack of standard datasets and evaluation metrics has prevented the field of paraphrasing from making the kind of rapid progress enjoyed by the machine translation community over the last 15 years. We address both problems by presenting a novel data collection framework that produces highly parallel text data relatively inexpensively and on a large scale.
UCF-101,https://www.crcv.ucf.edu/data/UCF101.php,https://www.crcv.ucf.edu/papers/UCF101_CRCV-TR-12-01.pdf,2012,Action Recognition,Daily life actions,"13,320 videos, 101 categories",Unknown,Internet videos,F,Video,"Class labels, semantic video groups",the largest dataset of human actions
Breakfast,http://serre-lab.clps.brown.edu/resource/breakfast-actions-dataset,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6909500,2014,Hierarchical action recognition,Cooking activities,"77 hours of video, 10 actions",Scripted,Multiview dataset content,F,Video,"Hierarchical class labels, temporal intervals","we collected a large dataset of daily cooking activities: The dataset includes a total of 52 participants, each performing a total of 10 cooking activities in multiple real-life kitchens, resulting in over 77 hours of video footage."
Sports-1M,https://cs.stanford.edu/people/karpathy/deepvideo/,https://cs.stanford.edu/people/karpathy/deepvideo/deepvideo_cvpr2014.pdf,2014,Action Recognition,Sports content,"1 million videos, 487 classes",Unknown,Internet videos,F,Video,Class labels,extensive empirical evaluation of CNNs on largescale video classification using a new dataset
VideoStory,https://ivi.fnwi.uva.nl/isis/mediamill/datasets/videostory.php,https://isis-data.science.uva.nl/cgmsnoek/pub/habibian-videostory-mm2014.pdf,2014,Captioning,Popular internet queries,"45,826 videos",Unknown,Internet videos,F,Video,Video captions,"This paper proposes a new video representation for fewexample event recognition and translation. Different from existing representations, which rely on either low-level features, or pre-specified attributes, we propose to learn an embedding from videos and their descriptions. In our embedding, which we call VideoStory, correlated term labels are combined if their combination improves the video classifier prediction."
ActivityNet,http://activity-net.org/index.html,https://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Heilbron_ActivityNet_A_Large-Scale_2015_CVPR_paper.pdf,2015,"Action Recognition, Detection",Daily human activities,"200 classes, 100 videos per class",Unknown,Internet videos,F,Video,"Class labels, class temporal boundaries",current computer vision algorithms are still severely limited in terms of the variability and complexity of the actions that they can recognize. Our benchmark aims at covering a wide range of complexhuman activities that are of interest to people in their daily living
EventNet,http://eventnet.ee/,https://dl.acm.org/doi/abs/10.1145/2733373.2806221,2015,Retrieval,Events from WikiHow articles,"95,321 videos and 4,490 concepts",Unknown,Internet videos,F,Video,"Event classes, ""concept based representations of event videos""","Existing methods only focus on defining event-specific concepts for a small number of pre-defined events, but cannot handle novel unseen events. We perform a coarse-to-fine event discovery process and discover 500 events from WikiHow articles. Then we use each event name as query to search YouTube and discover event-specific concepts from the tags of returned videos. After an automatic filter process, we end up with 95,321 videos and 4,490 concepts."
MPII,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/research/vision-and-language/mpii-movie-description-dataset/,https://openaccess.thecvf.com/content_cvpr_2015/papers/Rohrbach_A_Dataset_for_2015_CVPR_paper.pdf,2015,Captioning,General movie actions conveying story information,"94 movies, 118,114 clips",Scripted,Movies,F,Video,"Audio descriptions, transcripts","In this work we propose a novel dataset which contains transcribed ADs, which are temporally aligned to full length HD movies. In addition we also collected the aligned movie scripts which have been used in prior work and compare the two different sources of descriptions."
